_from,_to,transfer_type
stops/46,stops/5889,0
stops/46,stops/5890,0
stops/52,stops/6773,0
stops/52,stops/6774,0
stops/53,stops/6773,0
stops/53,stops/6774,0
stops/63,stops/7237,0
stops/63,stops/7238,0
stops/64,stops/7237,0
stops/64,stops/7238,0
stops/88,stops/3153,0
stops/88,stops/3154,0
stops/89,stops/3153,0
stops/89,stops/3154,0
stops/90,stops/3452,0
stops/90,stops/3453,0
stops/91,stops/4455,0
stops/91,stops/8814,0
stops/92,stops/4455,0
stops/92,stops/8814,0
stops/93,stops/3452,0
stops/93,stops/3453,0
stops/102,stops/103,0
stops/102,stops/2266,0
stops/102,stops/2267,0
stops/103,stops/102,0
stops/103,stops/2266,0
stops/103,stops/2267,0
stops/115,stops/115,0
stops/135,stops/10328,0
stops/136,stops/136,0
stops/136,stops/137,0
stops/136,stops/4456,0
stops/137,stops/136,0
stops/137,stops/4456,0
stops/142,stops/142,0
stops/142,stops/143,0
stops/142,stops/6474,0
stops/142,stops/6475,0
stops/142,stops/9397,0
stops/143,stops/142,0
stops/143,stops/143,0
stops/143,stops/6474,0
stops/143,stops/6475,0
stops/143,stops/8770,3
stops/143,stops/9397,0
stops/146,stops/146,0
stops/168,stops/168,0
stops/168,stops/923,0
stops/168,stops/10952,0
stops/170,stops/7047,0
stops/172,stops/172,0
stops/172,stops/173,0
stops/172,stops/1140,0
stops/172,stops/1141,0
stops/173,stops/172,0
stops/173,stops/173,0
stops/173,stops/1140,0
stops/173,stops/1141,0
stops/191,stops/191,0
stops/191,stops/193,0
stops/193,stops/191,0
stops/193,stops/193,0
stops/199,stops/199,0
stops/199,stops/10848,0
stops/199,stops/11211,0
stops/202,stops/7036,0
stops/202,stops/7047,0
stops/212,stops/212,0
stops/212,stops/8213,0
stops/310,stops/310,0
stops/310,stops/4125,0
stops/310,stops/6502,0
stops/316,stops/316,0
stops/341,stops/341,0
stops/348,stops/348,0
stops/348,stops/5172,0
stops/348,stops/5184,0
stops/348,stops/5194,0
stops/350,stops/350,0
stops/350,stops/5172,0
stops/350,stops/5194,0
stops/352,stops/352,0
stops/385,stops/385,0
stops/385,stops/386,0
stops/400,stops/6542,0
stops/400,stops/6588,0
stops/427,stops/7437,0
stops/427,stops/7438,0
stops/428,stops/7437,0
stops/428,stops/7438,0
stops/450,stops/7812,0
stops/450,stops/7813,0
stops/451,stops/7812,0
stops/451,stops/7813,0
stops/536,stops/536,0
stops/536,stops/564,0
stops/564,stops/536,0
stops/564,stops/564,0
stops/605,stops/2165,0
stops/605,stops/13609,0
stops/605,stops/13617,0
stops/616,stops/2580,0
stops/616,stops/7602,0
stops/616,stops/7616,0
stops/616,stops/7618,0
stops/616,stops/10766,0
stops/616,stops/11011,0
stops/622,stops/2165,0
stops/622,stops/5897,0
stops/625,stops/1997,0
stops/625,stops/7763,0
stops/627,stops/6009,0
stops/627,stops/6357,0
stops/631,stops/6779,0
stops/631,stops/6843,0
stops/634,stops/634,0
stops/634,stops/7138,0
stops/634,stops/7139,0
stops/635,stops/635,0
stops/635,stops/7188,0
stops/644,stops/644,0
stops/644,stops/7392,0
stops/654,stops/7588,0
stops/689,stops/689,0
stops/704,stops/704,0
stops/704,stops/2167,0
stops/704,stops/5901,0
stops/718,stops/718,0
stops/735,stops/735,0
stops/735,stops/9122,0
stops/735,stops/9757,0
stops/735,stops/9758,0
stops/735,stops/9860,0
stops/755,stops/755,0
stops/770,stops/7440,0
stops/770,stops/7441,0
stops/771,stops/7440,0
stops/771,stops/7441,0
stops/782,stops/792,0
stops/782,stops/7631,0
stops/782,stops/7751,0
stops/782,stops/7782,0
stops/782,stops/7787,0
stops/782,stops/9303,0
stops/782,stops/13170,0
stops/782,stops/13171,0
stops/792,stops/782,0
stops/792,stops/792,0
stops/792,stops/7751,0
stops/792,stops/7782,0
stops/792,stops/7787,0
stops/792,stops/13170,0
stops/793,stops/7814,0
stops/793,stops/7815,0
stops/794,stops/7814,0
stops/794,stops/7815,0
stops/813,stops/7936,0
stops/813,stops/7937,0
stops/814,stops/7936,0
stops/814,stops/7937,0
stops/832,stops/8746,0
stops/832,stops/13532,0
stops/838,stops/838,0
stops/838,stops/839,0
stops/838,stops/6847,0
stops/838,stops/6848,0
stops/839,stops/838,0
stops/839,stops/845,0
stops/845,stops/839,0
stops/845,stops/6847,0
stops/845,stops/6848,0
stops/852,stops/7156,0
stops/855,stops/7156,0
stops/923,stops/168,0
stops/923,stops/923,0
stops/923,stops/10952,0
stops/929,stops/929,0
stops/929,stops/955,0
stops/929,stops/5552,0
stops/930,stops/930,0
stops/930,stops/5697,0
stops/930,stops/9320,0
stops/930,stops/10935,0
stops/955,stops/929,0
stops/955,stops/955,0
stops/955,stops/5552,0
stops/956,stops/956,0
stops/956,stops/957,0
stops/956,stops/5788,0
stops/956,stops/5789,0
stops/957,stops/956,0
stops/957,stops/957,0
stops/957,stops/5788,0
