_id,_key,stop_code,stop_name,tts_stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,direction,position
stops/3,3,3,A Ave & Second St,ae avenue & second street,Eastbound stop in Lake Oswego (Stop ID 3),45.419388,-122.665197,B,http://trimet.org/#tracker/stop/3,0,,East,Farside
stops/6,6,6,A Ave & 8th St,ae avenue & 8th street,Eastbound stop in Lake Oswego (Stop ID 6),45.420217,-122.67307,B,http://trimet.org/#tracker/stop/6,0,,East,Nearside
stops/7,7,7,A Ave & 8th St,ae avenue & 8th street,Westbound stop in Lake Oswego (Stop ID 7),45.420411,-122.67268,B,http://trimet.org/#tracker/stop/7,0,,West,Nearside
stops/8,8,8,900 Block Abernethy,900 block abernethy,Eastbound stop in Oregon City (Stop ID 8),45.363509,-122.593886,B,http://trimet.org/#tracker/stop/8,0,,East,At
stops/9,9,9,Abernethy & Barclay,abernethy & barclay,Northbound stop in Gladstone (Stop ID 9),45.384645,-122.602873,B,http://trimet.org/#tracker/stop/9,0,,North,Nearside
stops/10,10,10,Abernethy & Barclay,abernethy & barclay,Southbound stop in Gladstone (Stop ID 10),45.38472,-122.60319,B,http://trimet.org/#tracker/stop/10,0,,South,Opposite
stops/11,11,11,Abernethy & Beatrice,abernethy & beatrice,Eastbound stop in Gladstone (Stop ID 11),45.384046,-122.601099,B,http://trimet.org/#tracker/stop/11,0,,East,Farside
stops/12,12,12,Abernethy & Center,abernethy & center,Westbound stop in Gladstone (Stop ID 12),45.38414,-122.601137,B,http://trimet.org/#tracker/stop/12,0,,West,Nearside
stops/13,13,13,Abernethy & Duniway,abernethy & done-away,Northbound stop in Gladstone (Stop ID 13),45.385893,-122.604724,B,http://trimet.org/#tracker/stop/13,0,,North,Nearside
stops/14,14,14,Abernethy & Duniway,abernethy & done-away,Southbound stop in Gladstone (Stop ID 14),45.385908,-122.604963,B,http://trimet.org/#tracker/stop/14,0,,South,Opposite
stops/16,16,16,Abernethy & Portland Ave,abernethy & portland avenue,Westbound stop in Gladstone (Stop ID 16),45.384222,-122.598181,B,http://trimet.org/#tracker/stop/16,0,,West,Farside
stops/17,17,17,Abernethy & Portland Ave,abernethy & portland avenue,Eastbound stop in Gladstone (Stop ID 17),45.384203,-122.597396,B,http://trimet.org/#tracker/stop/17,0,,East,Nearside
stops/20,20,20,2800 Block NE 92nd,twenty-eight-hundred block northeast ninetee-second,Northbound stop in Portland (Stop ID 20),45.54267,-122.569774,B,http://trimet.org/#tracker/stop/20,0,,North,At
stops/21,21,21,2800 Block NE 92nd,twenty-eight-hundred block northeast ninetee-second,Southbound stop in Portland (Stop ID 21),45.543152,-122.570032,B,http://trimet.org/#tracker/stop/21,0,,South,At
